Hash, Name
A4D28108, Skin
39580683, VictoryPose
9D54855A, Emote
DF653E48, HighlightIntro
E0064FB1, Spray
154D718A, VoiceLine
3934A1A8, WeaponSkin
D650E939, Portrait
8415D257, Lootbox
090928A0, OverwatchLeagueCurrency
AB5212AB, CompetitiveCurrency
8137167B, Currency
A3F7BC68, Souvenir
7A6F5949, WeaponCharm
CFFC6E80, NameCard
7028D14B, PlayerTitle
8A08CA03, OverwatchCoins
E8E76FEB, BattlePass
8D893F1E, BattlePassXP
DE371500, Hero
ADD112E7, SeasonXPBoost
22A72C00, Base
9722B6D4, SummerGames
6771D6F5, Halloween
641ED9C7, Winter
C6836954, LunarNewYear
31800B95, Archives
BDBB3D54, Anniversary
8B02F5D7, Golden
D6954B53, Internal
6C02F9A7, LegendaryAnniversary
C026BA80, Hammond
1F8953C7, Legendary
4FBE4DB7, TeamBlue
1EC4639E, TeamRed
36A550DF, FFA
D9730A25, None
A3D3317A, Pacific
6B9A1ACC, Atlantic
063F4077, WorldCup
1745B921, Generic
5123F4E9, Male
AFA0BA5C, Female
1A62C6F0, Enabled
F4C0BC0F, Disabled

# LoadoutCategory
F08392C2, Weapon
EE2EB06A, Ability
F0DD1972, PassiveAbility
B8B1437C, UltimateAbility
560D5787, Perk

# STUWeaponType
E87119C8, DEFAULT
F63DFCBD, GOLDEN
D65C735C, JADE
7AC73B41, GALACTIC

# Workshop Stuff
45DAA27C, Generic
42AC6AEC, Team
A5697714, Player
06C814EF, Hero
CA906AF5, Boolean
98E3B566, Integer
2B03A17F, Float
EB59EA18, Vector
9FA37C09, GamemodeConstant
082CAB24, MapConstant
CB43CF0D, ButtonConstant
52198DC8, String

# STUHeroSize
9B5CE715, Normal
F7A961FD, Small
66A11B18, Large

# STUUnlockRarity
04F85D85, Common
C25BCFAD, Rare
AF948D7A, Epic
4585FFFF, Legendary
BD3BA67B, Mythic
3A3ADA03, None

# POTGType
CE03E86E, Normal
3E4E3170, Default
3F475F4D, SombraHack
35FF9030, Random

# STUMapType
A9A588B3, OffenseDefenseMap
A5BB799F, MirroredMap
4224D20E, PVE

# STURankedTier
A830D07D, Bronze
7D6D2A68, Silver
EE29D0A2, Gold
CF872CA8, Platinum
08F70978, Diamond
027926D5, Master
654A7C97, GrandMaster
3774AB86, None

# STUPortraitFrameRank
0C1ADE62, Bronze
0534BB83, Sliver
91E4891F, Gold
6A29B99B, Platinum
C9CA261C, Diamond

# STUChatCommandType
07D6B2F8, PartyInvite
7EBFC038, PartyAcceptInvite
E448A0C5, PartyDeclineInvite
99EE4316, Kick
6ABA0C41, Leader
88775165, Leave
6EEC11F9, TeamChat
14061533, MatchChat
A5D398CC, GeneralChat
770D5C3B, RemoveFriend
1AD5CB54, PartyChat
2DDAAEE4, JoinChannel
970863F0, LeaveChannel
9052D767, List
9273B92A, Logout
011D0857, Join
95CBDCBC, Spectate
29B7DB7B, Whisper
AC9EB730, Reply
C48777CB, HideChat

# STUChatChannelType
C3A49A7C, None
5ADDBB89, Error
DF488316, SystemMessage
127A82E9, Whisper
698FE81F, Party
7B17CA26, Team
D0B2CF7A, Match
86BE3868, General
30DB6DD8, CustomGame

# Enum_F2F62E3D game ruleset schema catagory
D2D95305, Modes
39B0CD3A, Combat
C2030825, WeaponAmmo
EA21330C, HeroSpecific
F956D761, HeroCommon
E5FACB24, None

# Enum_1964FED7 gamemode types
D33D7203, OffenseDefence
023CE0F6, Mirrored
3F1EFF08, FFA
28C99BBF, PVE
A083C2EF, Game
B2C401CA, Main
EDE032FB, Hero
5B2DE07A, Secondary
093910CE, Misc
A09C66B1, Invalid
7AC4E1D8, Hero
0A77ABB7, PlayerMap
85A4983B, Player
808C6030, Team
0FF7D120, Maximum
2E8BBADE, Minimum
E369B763, Compare
07B41BDF, Sum
B2ECD641, Average
050512F8, AllMaps
461363E8, SpecificMaps
D41F5AF0, AllTeams
D34C2EA9, SpecificTeams
3EA7BE2A, AllHeroes
666FD065, SpecificHeroes
3A6D687B, MatchEnter
F669002F, MatchWon
69F07E27, LeftMatch
F54EBBAB, Disconnect
F428C120, Reconnect
21B679C7, OffenseMatchEnter
1FB5608D, OffenseMatchWon
25B1D62F, DefenseMatchEnter
75CB2306, DefenseMatchWon
D631CF0E, MatchTie
DF9E5A62, Life
6F4F71B6, Match
140A7242, Lifetime
5BFD3D51, Game
C33FF09B, Combat
B097D778, Assists
BADE844D, HeroSpecific
532D9D52, Average
CC0FA6A2, Best
582FC71C, MatchAwards
9ECF2F6A, Miscellaneous
