Hash, Name
0243CBF9, LoadoutCategory
3D26984C, STUChatCommandType
BDE32585, STUContactType
E95E2013, STUStatType
4CAFD36F, STUUnlockRarity
4E56D01D, STUWeaponType
56DF3C94, STUXPGainType
8A184A5C, STURagdollMode
909B56BB, STULogicalButton
9F4E2CAC, STUPlayAnimSlot
8F2CDF51, TeamIndex
1AA009C2, STUCriteriaType
EF0DF8C0, LoadoutCategory
D61991A8, STUContactType
281A4FD5, STUCriteriaType
44A05FE3, STUInputLogicalButtonCategory
492FEC63, STULocale
DC1624CF, STULogicalButton
B26EE6B7, STUPhaseOutType
8C905AB8, STUPlayAnimSlot
9D5D3829, STURagdollMode
114956E8, STUStatType
B3770108, STUUnlockRarity
1B4947D2, STUUXKeyTimeType
2001C460, STUWeaponType
E6C2E533, STUXPGainType
0CB7E361, TeamIndex,
E5327514, POTGType
C1DAF32A, STUHeroSize
5D8C1DCC, STUChatChannelType
161443EA, STUPortraitFrameRank
4BE16CA5, STURankedTier
A0F51DCC, STUMapType
CC0F4675, STUStatDisplayType
6CBB673B, STUStatCategory
149525F6, STUStatUpdateType
E7FEC166, STUStatEvent
8C9887E8, STUStatMapsType
5B361C17, STUStatHeroesType
B220D6E4, STUPlayerStatEvent
F5D8585C, STUStatTimeframe
