APMTool v1.0.2.0
0580 : 01B
0C00 : 004
0400 : 003
0540 : 02B
0D40 : 02C
0740 : 02F
0AC0 : 036
0120 : 049
0D20 : 04C
0720 : 04F
09E0 : 07A
0C80 : 014
0280 : 015
0050 : 0A1
0D50 : 0AC
07D0 : 0BF
0C40 : 024
0240 : 025
04A0 : 053
02E0 : 075
0B50 : 0AE
0E90 : 098
05C0 : 03B
0320 : 04D
0E00 : 008
0250 : 0A5
0E50 : 0A8
04D0 : 0B3
0300 : 00D
0710 : 08F
0A00 : 006
0980 : 01A
0D00 : 00C
0260 : 065
0210 : 085
0A10 : 086
0610 : 087
07C0 : 03F
0420 : 043
0F80 : 020
0040 : 021
0920 : 04A
0EA0 : 058
0860 : 062
0B90 : 09E
0AD0 : 0B6
0E60 : 068
0550 : 0AB
0010 : 081
0B10 : 08E
03D0 : 0BD
0BD0 : 0BE
0600 : 007
0F60 : 070
0E80 : 018
0340 : 02D
0B40 : 02E
0B20 : 04E
0DE0 : 07C
0150 : 0A9
0F20 : 050
00A0 : 051
0CA0 : 054
0940 : 02A
09C0 : 03A
0480 : 013
07E0 : 07F
06D0 : 0B7
0460 : 063
0EE0 : 078
01E0 : 079
0690 : 097
0830 : 0C2
0390 : 09D
01C0 : 039
0750 : 0AF
0F50 : 0B0
0FD0 : 0C0
0780 : 01F
0700 : 00F
0F40 : 030
00C0 : 031
04C0 : 033
0220 : 045
0520 : 04B
09A0 : 05A
05A0 : 05B
0BA0 : 05E
08E0 : 072
0F10 : 090
0290 : 095
0A90 : 096
0850 : 0A2
0450 : 0A3
0790 : 09F
0800 : 002
08C0 : 032
02A0 : 055
0AE0 : 076
02D0 : 0B5
0DD0 : 0BC
0950 : 0AA
0A50 : 0A6
0350 : 0AD
0B00 : 00E
07A0 : 05F
0760 : 06F
0590 : 09B
05D0 : 0BB
08D0 : 0B2
